animal_id,n_records,mean_log_vedba,std_logvedba,min_logvedba,max_logvedba,median_logvedba,first_date,last_date,days_with_data
24AA01_5O8B_10346,591612,2.348,1.682,-0.581,6.939,1.844,2024-07-01,2025-09-11,415
24AA03_2A1P_10340,607816,2.255,1.606,-0.475,7.142,1.959,2024-07-01,2025-09-25,439
24AA05_4I0L_10370,161671,2.154,1.747,-0.61,7.216,1.617,2024-07-01,2024-10-30,119
24AA06_5I8Y_10358,626347,2.425,1.663,-0.403,6.993,2.072,2024-07-01,2025-09-21,438
24AA10_4R7W_10341,600245,2.191,1.685,-0.709,7.202,2.151,2024-07-01,2025-09-25,452
24AA11_9A7D_10336,546914,2.285,1.666,-0.545,7.15,2.362,2024-07-01,2025-07-25,390
24AA12_6P8Q_10372,567586,2.216,1.678,-0.519,7.21,1.749,2024-07-01,2025-08-11,399
24AA14_4N0F_10371,623686,2.216,1.719,-0.517,7.234,1.603,2024-07-01,2025-09-26,440
24AA16_9Q8P_10337,620605,2.304,1.684,-0.601,7.156,2.229,2024-07-01,2025-09-26,450
24AB02_0Y5R_10374,546111,2.08,1.551,-0.452,7.274,1.403,2024-07-01,2025-09-26,442
24AB03_4D7N_10373,648152,2.219,1.602,-0.678,7.094,1.695,2024-07-01,2025-09-24,451
24AB04_0V2Z_10362,553047,2.235,1.652,-0.538,7.304,1.712,2024-07-01,2025-09-24,408
24AB06_3I2H_10360,639584,2.218,1.701,-0.523,7.077,1.76,2024-07-01,2025-09-24,449
24AB07_5J8U_10359,622426,2.364,1.716,-0.42,7.239,2.192,2024-07-01,2025-09-24,451
24AC01_1A2B_14551,614275,2.198,1.633,-0.671,7.448,1.563,2024-07-12,2025-09-19,430
24AC02_3C4D_14544,612216,2.143,1.644,-0.767,7.266,1.581,2024-07-12,2025-09-18,429
24AC03_5E6F_14540,620112,2.349,1.677,-0.501,7.049,2.168,2024-07-12,2025-09-17,433
24AC04_7G8H_14560,627457,2.304,1.667,-0.538,7.387,1.834,2024-07-12,2025-09-21,437
24AC05_9I0J_14555,630570,2.036,1.751,-0.403,7.204,1.207,2024-07-13,2025-09-26,441
24AC06_2K3L_14546,628083,2.157,1.709,-0.372,7.347,1.246,2024-07-14,2025-09-25,439
24AC07_6O7P_10364,504374,2.193,1.801,-0.737,7.069,1.848,2024-07-14,2025-06-30,352
24AC08_8Q9R_14541,626497,2.196,1.803,-0.691,7.113,1.805,2024-07-14,2025-09-23,437
24AC09_0S1T_14556,572890,2.317,1.665,-0.459,7.296,1.914,2024-07-15,2025-09-19,406
24AC10_3U4V_14552,585087,2.264,1.627,-0.56,7.429,1.665,2024-07-15,2025-09-19,412
24AC11_5W6X_10342,601530,2.248,1.687,-0.793,7.242,2.24,2024-07-15,2025-09-19,424
24AC12_7Y8Z_14545,608139,2.356,1.693,-0.493,7.492,2.037,2024-07-15,2025-09-19,428
24AC13_9B0C_14559,607610,2.116,1.636,-0.494,7.5,1.537,2024-07-16,2025-09-25,425
24AC14_1D2E_10363,607311,2.35,1.637,-0.612,7.451,2.139,2024-07-16,2025-09-25,426
24AC15_3F4G_14558,607095,2.184,1.727,-0.422,7.34,1.412,2024-07-16,2025-09-24,426
24AC16_5H6I_14557,591745,2.098,1.588,-0.425,7.227,1.513,2024-07-16,2025-09-25,416
24AC17_7J8K_14554,547578,1.969,1.631,-0.712,7.383,1.106,2024-07-16,2025-08-29,386
24AC18_9L0M_10338,582720,2.347,1.75,-0.467,7.121,2.289,2024-07-18,2025-09-14,412
24AC19_2N30_10345,279214,2.326,1.642,-0.329,7.028,2.263,2024-07-18,2025-01-28,195
24AC20_4M5N_14547,591940,2.151,1.664,-0.616,7.198,1.523,2024-07-18,2025-09-26,416
24AC21_4P5Q_14553,459773,2.153,1.637,-0.413,7.214,1.517,2024-07-18,2025-06-18,329
24AD01_6R76_10366,549768,2.292,1.71,-0.5,7.302,1.878,2024-09-07,2025-09-24,383
24AD02_8T9U_14542,63283,2.193,1.683,-0.755,6.944,2.005,2024-09-08,2024-10-24,46
24AD03_0V1W_10365,539908,2.295,1.716,-0.747,7.358,2.018,2024-09-08,2025-09-19,377
24AD04_2X3Y_14549,532955,2.426,1.727,-0.44,7.139,2.418,2024-09-12,2025-09-17,371
24AD05_4Z5A_10368,206290,1.971,1.838,-0.931,7.004,1.385,2024-09-18,2025-02-09,145
